iter	RMSE
0	14421785.1
1	14347833.6
2	14273688.33
3	14196816.5
4	14125319.82
5	14046835.41
6	13974145.76
7	13908135.68
8	13854158.24
9	13788159.1
10	13723321.72
11	13662524.4
12	13596021.25
13	13523714.38
14	13448462.35
15	13383753.82
16	13315346.16
17	13243100.03
18	13170353.32
19	13110743.3
20	13043374.71
21	12984228.67
22	12924147.18
23	12871632.63
24	12825892.08
25	12761831.1
26	12702653.64
27	12637197.05
28	12575622.07
29	12521956.18
30	12457284.1
31	12395453.27
32	12342434.41
33	12296814.66
34	12241642.5
35	12178118.93
36	12115483.31
37	12058162.72
38	12011929.63
39	11953692.16
40	11892429.23
41	11841908.39
42	11783826.08
43	11743285.45
44	11686428.42
45	11635899.94
46	11587349.08
47	11526675.98
48	11480604.44
49	11433600.05
50	11380045.66
51	11335019.99
52	11286757.61
53	11232872.12
54	11187401.83
55	11134593.92
56	11082167.89
57	11046556.93
58	10994804.88
59	10944326.28
60	10893112.42
61	10842226.15
62	10791141.56
63	10740326.33
64	10691541.94
65	10643625.4
66	10593630.5
67	10542946.73
68	10500963.86
69	10468531.87
70	10420883.18
71	10395129.75
72	10349408.78
73	10301128.49
74	10257725.11
75	10215316.25
76	10165559.08
77	10118735.46
78	10073400.43
79	10028152.65
80	9983583.85
81	9938521.577
82	9894937.524
83	9849350.095
84	9802921.286
85	9761854.817
86	9718599.594
87	9673073.235
88	9628758.336
89	9594408.691
90	9555578.778
91	9513804.078
92	9477310.811
93	9441304.275
94	9399253.522
95	9361323.72
96	9321208.214
97	9280134.491
98	9246754.514
99	9210474.896
100	9177562.142
101	9137784.258
102	9097202.993
103	9060260.352
104	9027897.189
105	8988118.127
106	8948912.004
107	8915159.939
108	8899132.721
109	8863973.678
110	8846099.052
111	8811469.753
112	8778244.048
113	8740214.525
114	8704835.344
115	8671257.696
116	8634200.25
117	8600948.209
118	8570320.076
119	8536667.41
120	8506866.196
121	8475915.565
122	8452737.324
123	8429584.734
124	8397054.652
125	8366426.086
126	8332645.334
127	8303114.491
128	8275217.605
129	8242844.533
130	8221848.521
131	8192317.002
132	8162105.761
133	8129372.969
134	8097457.206
135	8070820.013
136	8047514.116
137	8017343.729
138	7989772.511
139	7957636.966
140	7933496.998
141	7912153.887
142	7884759.064
143	7857307.312
144	7831053.842
145	7803798.903
146	7777573.518
147	7755237.313
148	7731494.728
149	7701479.968
150	7677517.626
151	7649081.869
152	7628270.073
153	7607115.078
154	7577580.243
155	7553780.248
156	7531300.482
157	7510915.661
158	7485365.581
159	7460574.919
160	7441261.506
161	7415363.049
162	7389861.452
163	7363151.464
164	7344281.674
165	7320649.35
166	7294449.316
167	7273007.248
168	7245479.29
169	7220020.763
170	7199684.985
171	7180534.18
172	7161742.105
173	7140439.495
174	7127406.097
175	7111094.41
176	7094231.547
177	7073481.348
178	7060966.913
179	7039772.193
180	7022479.444
181	6999169.7
182	6981399.541
183	6959537.783
184	6939498.972
185	6917392.283
186	6897662.897
187	6874251.918
188	6857703.831
189	6835105.176
190	6824620.97
191	6800739.43
192	6780115.649
193	6766389.237
194	6744214.44
195	6729765.985
196	6715768.903
197	6702317.149
198	6686154.407
199	6664954.938
200	6645154.204
201	6624281.286
202	6606159.354
203	6593567.297
204	6573244.068
205	6557838.108
206	6543160.006
207	6526388.956
208	6509988.073
209	6498664.826
210	6480058.806
211	6467294.255
212	6453361.486
213	6440164.328
214	6431061.841
215	6418778.895
216	6399118.145
217	6380644.279
218	6358683.07
219	6342386.133
220	6329748.228
221	6316113.241
222	6304296.4
223	6284255.589
224	6265820.365
225	6250136.985
226	6233004.278
227	6220196.818
228	6204030.482
229	6192597.659
230	6181809.51
231	6166330.16
232	6146598.261
233	6131857.448
234	6119046.811
235	6109245.392
236	6093066.741
237	6078246.949
238	6062426.218
239	6049876.454
240	6036248.165
241	6025161.667
242	6017542.429
243	6002390.23
244	5990872.798
245	5978539.543
246	5961896.302
247	5952972.576
248	5942619.588
249	5930650.752
250	5919814.741
251	5911710.094
252	5897832.248
253	5887072.563
254	5869775.553
255	5854461.292
256	5838447.456
257	5830721.934
258	5818262.554
259	5801174.433
260	5791594.724
261	5783898.743
262	5776117.366
263	5761388.848
264	5748223.374
265	5733800.615
266	5724382.008
267	5709683.965
268	5699409.723
269	5685540.82
270	5668839.046
271	5662372.314
272	5652097.476
273	5640994.751
274	5632773.501
275	5621256.826
276	5607881.08
277	5599919.091
278	5586906.002
279	5577543.634
280	5570298.961
281	5558613.44
282	5552360.227
283	5538789.454
284	5526606.045
285	5518839.845
286	5508540.788
287	5502053.135
288	5492084.607
289	5483070.121
290	5476846.172
291	5467488.017
292	5459736.795
293	5450717.524
294	5438197.144
295	5429271.636
296	5419092.371
297	5411433.84
298	5404709.011
299	5395714.297
300	5385407.289
301	5374208.91
302	5364907.312
303	5354976.09
304	5346587.582
305	5333907.481
306	5326411.998
307	5317214.897
308	5309382.708
309	5298415.043
310	5289511.34
311	5281932.493
312	5271182.143
313	5265539.797
314	5258047.437
315	5250244.822
316	5241411.036
317	5235932.865
318	5225038.664
319	5219048.941
320	5211713.158
321	5202558.106
322	5193883.758
323	5188427.74
324	5181570.675
325	5174392.445
326	5163436.747
327	5157247.684
328	5149762.682
329	5143501.159
330	5132455.131
331	5123126.885
332	5110460.655
333	5101894.12
334	5093588.283
335	5083568.983
336	5077120.51
337	5070904.037
338	5057489.923
339	5048375.703
340	5039809.378
341	5029828.245
342	5023753.968
343	5016671.42
344	5007612.777
345	4999817.721
346	4993143.659
347	4987506.857
348	4982464.308
349	4977054.521
350	4972156.552
351	4965164.9
352	4958124.113
353	4952140.011
354	4946639.186
355	4941045.515
356	4934423.772
357	4921645.021
358	4914570.758
359	4907368.061
360	4903131.117
361	4893688.346
362	4889289.993
363	4880927.363
364	4874059.415
365	4867451.386
366	4860595.418
367	4855625.028
368	4848786.708
369	4841528.71
370	4836190.455
371	4828937.196
372	4825100.535
373	4818942.738
374	4814182.465
375	4809265.622
376	4802740.721
377	4798094.976
378	4793875.875
379	4787912.785
380	4782887.053
381	4777727.544
382	4772709.961
383	4768427.409
384	4762252.556
385	4756990.812
386	4748745.571
387	4743675.118
388	4738374.933
389	4734097.563
390	4727880.076
391	4721922.214
392	4718024.662
393	4713856.424
394	4709387.788
395	4704955.676
396	4699117.945
397	4694343.482
398	4686168.724
399	4678254.05
400	4671796.958
401	4667462.514
402	4662246.703
403	4650495.864
404	4644429.844
405	4640826.099
406	4636572.741
407	4631960.713
408	4627780.337
409	4622211.851
410	4618024.414
411	4613397.153
412	4609574.302
413	4606186.161
414	4599367.669
415	4592588.444
416	4589926.461
417	4586197.67
418	4583462.743
419	4576245.795
420	4571058.625
421	4567016.169
422	4563299.378
423	4554187.946
424	4549944.536
425	4545051.098
426	4540301.264
427	4536213.527
428	4533137.921
429	4529984.811
430	4526506.106
431	4523081.166
432	4519385.513
433	4515087.792
434	4511500.612
435	4506873.141
436	4502440.692
437	4497286.652
438	4493346.054
439	4490628.539
440	4487538.079
441	4482382.797
442	4474990.432
443	4468758.097
444	4465681.659
445	4462930.443
446	4458117.383
447	4455624.085
448	4451231.585
449	4447997.016
450	4445607.851
451	4443194.177
452	4437131.066
453	4434709.757
454	4431687.115
455	4428538.431
456	4422759.25
457	4413242.643
458	4409053.596
459	4406785.694
460	4404232.669
461	4399738.062
462	4396921.288
463	4393147.478
464	4389391.84
465	4384436.268
466	4381005.189
467	4378470.426
468	4373230.557
469	4369609.652
470	4367606.133
471	4365122.464
472	4359570.668
473	4356506.184
474	4351597.285
475	4348473.273
476	4345970.476
477	4343149.244
478	4340892.344
479	4338871.557
480	4335471.941
481	4333124.134
482	4331041.447
483	4328123.766
484	4325128.75
485	4322829.709
486	4319679.076
487	4317020.285
488	4309541.103
489	4306514.213
490	4299385.28
491	4295813.335
492	4291861.536
493	4290092.779
494	4287592.647
495	4285626.714
496	4283931.463
497	4281601.65
498	4276339.769
499	4273939.274
