iter	Passed	Remaining
0	139	69473
1	139	34823
2	140	23258
3	140	17466
4	141	14012
5	142	11694
6	142	10033
7	143	8798
8	143	7838
9	144	7061
10	144	6429
11	144	5892
12	145	5447
13	145	5065
14	146	4733
15	147	4448
16	147	4191
17	147	3962
18	148	3757
19	148	3572
20	149	3420
21	150	3269
22	150	3129
23	151	3001
24	151	2882
25	151	2770
26	152	2668
27	152	2575
28	153	2490
29	153	2409
30	154	2333
31	154	2264
32	155	2197
33	155	2135
34	156	2077
35	156	2020
36	157	1967
37	157	1917
38	158	1868
39	158	1823
40	159	1780
41	159	1744
42	160	1707
43	161	1670
44	161	1633
45	162	1600
46	162	1565
47	163	1535
48	163	1507
49	164	1478
50	164	1449
51	165	1421
52	165	1395
53	165	1369
54	166	1346
55	167	1324
56	167	1304
57	168	1282
58	168	1261
59	169	1240
60	169	1220
61	170	1202
62	170	1184
63	171	1166
64	171	1149
65	172	1132
66	172	1115
67	173	1099
68	173	1084
69	174	1069
70	174	1054
71	174	1039
72	175	1024
73	175	1011
74	176	997
75	176	983
76	176	970
77	177	958
78	177	946
79	177	934
80	178	922
81	178	911
82	179	900
83	179	889
84	180	879
85	180	869
86	181	859
87	181	849
88	181	840
89	182	830
90	182	821
91	183	812
92	183	804
93	184	795
94	184	786
95	184	778
96	185	770
97	185	761
98	186	754
99	186	746
100	187	738
101	187	732
102	188	724
103	188	717
104	188	710
105	189	703
106	189	696
107	190	689
108	190	683
109	191	677
110	191	670
111	191	664
112	192	658
113	192	652
114	193	646
115	193	640
116	194	636
117	194	631
118	195	625
119	195	619
120	196	614
121	196	608
122	196	603
123	197	599
124	197	593
125	198	588
126	198	584
127	199	579
128	199	574
129	200	569
130	200	565
131	201	560
132	201	556
133	202	551
134	202	547
135	202	542
136	203	538
137	203	534
138	204	530
139	204	526
140	205	523
141	205	519
142	206	514
143	206	510
144	207	506
145	207	502
146	207	499
147	208	495
148	208	492
149	209	488
150	209	484
151	210	480
152	210	477
153	210	473
154	211	470
155	211	466
156	212	464
157	212	460
158	213	457
159	213	454
160	214	450
161	214	447
162	215	444
163	215	441
164	216	438
165	216	435
166	216	432
167	217	429
168	217	426
169	217	423
170	218	420
171	218	417
172	219	414
173	219	411
174	220	408
175	220	405
176	220	403
177	221	400
178	221	397
179	222	395
180	222	392
181	223	390
182	223	387
183	224	385
184	224	382
185	225	380
186	225	377
187	226	375
188	226	372
189	227	370
190	227	368
191	227	365
192	228	363
193	228	360
194	229	358
195	229	356
196	230	353
197	230	351
198	230	349
199	231	346
200	231	344
201	232	342
202	232	340
203	232	338
204	233	335
205	233	333
206	234	331
207	234	329
208	235	327
209	235	325
210	236	323
211	236	321
212	237	319
213	237	317
214	237	315
215	238	313
216	238	311
217	239	310
218	240	308
219	240	306
220	240	304
221	241	302
222	241	300
223	242	298
224	242	296
225	243	294
226	243	292
227	243	290
228	244	289
229	244	287
230	245	285
231	245	283
232	246	282
233	246	280
234	247	278
235	247	277
236	248	275
237	248	273
238	248	271
239	249	270
240	250	268
241	250	266
242	250	265
243	251	263
244	251	261
245	252	260
246	252	258
247	253	257
248	253	255
249	253	253
250	254	252
251	254	250
252	254	248
253	255	247
254	255	245
255	256	244
256	256	242
257	257	241
258	257	239
259	258	238
260	258	236
261	258	235
262	259	233
263	259	232
264	260	230
265	260	229
266	261	227
267	261	226
268	261	224
269	262	223
270	262	221
271	263	220
272	264	219
273	264	218
274	264	216
275	265	215
276	265	213
277	266	212
278	266	211
279	267	209
280	267	208
281	267	207
282	268	205
283	268	204
284	269	202
285	269	201
286	269	200
287	270	199
288	270	197
289	271	196
290	271	194
291	271	193
292	272	192
293	272	191
294	273	189
295	273	188
296	273	187
297	274	185
298	274	184
299	275	183
300	275	182
301	275	180
302	276	179
303	277	178
304	277	177
305	278	176
306	278	175
307	278	173
308	279	172
309	279	171
310	280	170
311	280	169
312	281	167
313	281	166
314	282	165
315	282	164
316	283	163
317	283	162
318	284	161
319	284	160
320	284	158
321	285	157
322	285	156
323	286	155
324	286	154
325	287	153
326	287	152
327	288	151
328	288	150
329	289	148
330	290	148
331	290	147
332	291	145
333	291	144
334	291	143
335	292	142
336	292	141
337	294	141
338	294	139
339	295	138
340	295	137
341	295	136
342	296	135
343	297	134
344	297	133
345	298	132
346	298	131
347	298	130
348	299	129
349	299	128
350	300	127
351	300	126
352	300	125
353	301	124
354	301	123
355	302	122
356	302	121
357	302	120
358	303	119
359	303	118
360	304	117
361	305	116
362	305	115
363	306	114
364	306	113
365	307	112
366	307	111
367	308	110
368	309	109
369	309	108
370	309	107
371	310	106
372	310	105
373	311	104
374	311	103
375	311	102
376	312	101
377	312	100
378	312	99
379	313	98
380	313	98
381	314	97
382	314	96
383	315	95
384	315	94
385	315	93
386	316	92
387	316	91
388	316	90
389	317	89
390	317	88
391	318	87
392	318	86
393	318	85
394	319	84
395	319	83
396	320	83
397	320	82
398	320	81
399	321	80
400	322	79
401	322	78
402	322	77
403	323	76
404	324	76
405	324	75
406	324	74
407	325	73
408	325	72
409	326	71
410	326	70
411	327	69
412	327	69
413	328	68
414	328	67
415	329	66
416	329	65
417	330	64
418	330	63
419	331	63
420	332	62
421	332	61
422	332	60
423	333	59
424	333	58
425	335	58
426	336	57
427	336	56
428	337	55
429	337	54
430	338	54
431	338	53
432	339	52
433	339	51
434	339	50
435	340	49
436	340	49
437	341	48
438	341	47
439	342	46
440	342	45
441	343	45
442	343	44
443	344	43
444	344	42
445	345	41
446	345	40
447	345	40
448	346	39
449	346	38
450	347	37
451	347	36
452	347	36
453	348	35
454	349	34
455	349	33
456	350	32
457	350	32
458	351	31
459	351	30
460	352	29
461	353	29
462	354	28
463	354	27
464	355	26
465	355	25
466	356	25
467	357	24
468	357	23
469	358	22
470	358	22
471	358	21
472	359	20
473	359	19
474	360	18
475	360	18
476	361	17
477	361	16
478	361	15
479	362	15
480	362	14
481	363	13
482	363	12
483	364	12
484	364	11
485	365	10
486	365	9
487	366	9
488	366	8
489	367	7
490	367	6
491	368	5
492	368	5
493	369	4
494	369	3
495	369	2
496	370	2
497	371	1
498	371	0
499	372	0
